model,type,accuracy,f1,roc_auc,precision,recall
Random Forest,Tabular,0.9998908416111778,0.999901642569096,0.999999903509681,1.0,0.9998033044846576
MLP (Neural Net),Tabular,0.9998908416111778,0.999901642569096,1.0,1.0,0.9998033044846576
k-NN (k=5),Tabular,0.9996725248335334,0.9997048696507624,1.0,1.0,0.9994099134539732
SVM (RBF),Tabular,0.9953061892806462,0.995788855156204,0.9994801101610674,0.9916130290618296,1.0
XGBoost,Tabular,0.989739111450715,0.9907462098838354,0.9991287406643204,0.991722506897911,0.989771833202203
ResNet18 (CNN),Image (CNN),0.8337,0.8408,0.9188,0.8341,0.8476
Logistic Regression,Tabular,0.7679292653640433,0.7899624580122505,0.836110324715011,0.7935688765383089,0.7863886703383163
